#x	y	z	vx	vy	vz	m
55.3636	32.5778	29.443	-12.5222	-12.5842	-32.115	6.66006e+06
971.013	667.509	1221.87	2.67022	0.0892513	-7.39755	6.66006e+06
24.91	29.2138	-1.50467	-13.718	15.3241	41.7793	6.66006e+06
1.26423	2.32259	3.4861	34.7758	-11.4083	75.8539	6.66006e+06
-135.85	297.704	-340.686	-3.5159	2.17142	10.7756	6.66006e+06
99.619	9.31497	48.9144	-6.30331	-19.1839	16.3512	6.66006e+06
5.75392	4.10373	-11.5533	27.5895	-2.6821	6.78898	6.66006e+06
-2.81484	-6.47704	-0.903892	30.1546	-40.6266	-46.3287	6.66006e+06
59.1404	95.2139	-688.335	-5.58494	4.45889	6.85378	6.66006e+06
-2.39139	-0.735024	-5.57761	25.7401	-19.9544	-16.6575	6.66006e+06
-240.231	-700.203	-157.667	-8.38473	-14.9092	4.60884	6.66006e+06
-1.90309	1.40945	-1.03762	-40.1639	-49.5785	93.2529	6.66006e+06
875.183	-1232.92	-5313.56	1.55493	2.62102	7.10015	6.66006e+06
1.31424	2.55663	3.70759	-16.2775	-42.4721	-15.9651	6.66006e+06
-22.07	69.0417	-154.922	-21.3679	-24.0488	1.7314	6.66006e+06
-168.14	-100.815	156.253	17.7557	-25.9422	-13.1044	6.66006e+06
-6.05782	5.08699	-4.29554	5.59533	56.3953	-22.4235	6.66006e+06
68.1288	5.25556	0.747036	-10.49	23.1196	6.21111	6.66006e+06
53.2152	240.011	22.4227	8.24242	-17.2408	23.5426	6.66006e+06
5.32381	32.2383	-7.1844	-4.23513	26.3509	-6.41612	6.66006e+06
-8341.03	-9956.84	2426.03	2.91066	2.81931	-2.55707	6.66006e+06
121.62	-0.4472	-20.4725	-0.526335	12.945	-14.9624	6.66006e+06
-51.6957	116.42	56.0824	-32.3946	-11.5932	-36.3342	6.66006e+06
0.47249	-1.24757	-1.03004	2.3793	26.6241	51.6864	6.66006e+06
15.3144	-0.395105	-23.4588	-50.7921	-28.8675	26.6528	6.66006e+06
-6.14219	-0.708417	-3.25771	13.8671	89.5282	-91.024	6.66006e+06
-146.276	-158.698	-400.817	7.4439	13.1882	-11.3218	6.66006e+06
4.14253	-6.05707	15.2351	-44.6628	46.9571	81.8298	6.66006e+06
-22.1516	-32.0675	-54.485	-2.142	4.97009	24.3732	6.66006e+06
-7.82929	-27.5695	32.1756	45.8472	-44.357	6.72265	6.66006e+06
15.1244	-5.8776	6.87299	98.4554	19.0663	28.6774	6.66006e+06
54.8454	-14.8875	-12.339	5.05086	11.0931	-27.9404	6.66006e+06
102.666	-180.829	233.045	-10.613	-3.22741	20.041	6.66006e+06
24577.2	-56168.6	-68434.9	-1.24483	-1.1093	0.328252	6.66006e+06
76.1374	-85.5094	72.4843	-26.4729	-10.6311	21.5769	6.66006e+06
-128.187	32.0705	-377.45	12.0368	12.018	0.275725	6.66006e+06
-18.8385	16.1425	50.2588	-35.6817	-23.7621	31.273	6.66006e+06
-55.9742	-128.318	66.1614	3.72768	-13.1263	1.52825	6.66006e+06
-513.555	97.3868	-125.72	9.7628	-17.744	-2.72924	6.66006e+06
-2.97043	-10.5437	5.03206	-30.3765	-81.7895	24.0501	6.66006e+06
-14.7964	-26.7134	-23.3142	-40.5958	-35.606	-28.2968	6.66006e+06
-6.84977	-30.9823	20.3659	16.6585	5.31156	54.6622	6.66006e+06
4.81342	1.03855	-6.29454	24.6463	-45.2255	17.6858	6.66006e+06
-90.9114	-1246.19	-330.249	-4.53489	3.59609	2.88587	6.66006e+06
-57084.6	-2102.63	52021.1	1.51894	-0.392606	-1.79016	6.66006e+06
6.69782	3.88991	-9.11459	54.2153	-40.3535	-20.9823	6.66006e+06
-34.3503	9.793	-19.5536	-27.9506	39.5524	28.5445	6.66006e+06
-2.78777e+08	9.59393e+07	-3.70899e+07	-0.0209603	0.011923	0.00474048	6.66006e+06
-1.91139	3.15253	4.84501	-49.2229	-12.5861	57.8237	6.66006e+06
31771.1	13858.4	-37818	-0.146998	-1.30194	-2.11241	6.66006e+06
-70.9804	-0.860782	-12.1937	-13.3254	29.1493	21.0347	6.66006e+06
-1141.86	-747.855	1005.25	5.50358	4.23099	-4.18515	6.66006e+06
-0.820277	-17.6494	-26.0982	1.95133	61.7072	-27.6923	6.66006e+06
21.0512	26.0114	110.851	-14.4421	10.2832	8.46598	6.66006e+06
92.9656	58.9037	-334.1	0.745406	-11.2676	-0.938298	6.66006e+06
273105	208942	-964118	-0.211572	0.046942	-0.428287	6.66006e+06
-34.4633	-36.762	-45.4911	17.3131	7.77044	-22.4777	6.66006e+06
-11.2478	26.0099	0.877025	-38.0474	-37.5038	-7.10996	6.66006e+06
-665.749	3129.8	586.938	-3.09411	-3.71756	0.0178429	6.66006e+06
-79.6846	3.30374	0.466674	-37.6542	19.3784	-19.1071	6.66006e+06
3.89287	-16.0396	-2.1549	-39.0644	65.6826	46.1865	6.66006e+06
-74.0618	210.691	409.321	8.83234	-6.71863	13.5089	6.66006e+06
1945.71	-763.348	98.3189	-11.0139	-0.383411	-3.55562	6.66006e+06
19.1603	16.9083	-16.5225	35.7741	-69.3121	21.6469	6.66006e+06
0.832416	-0.025697	-0.774134	-41.2779	-63.7355	71.4614	6.66006e+06
0.264999	-0.255294	-1.51204	-11.5	40.9486	33.6416	6.66006e+06
3.41623	21.1416	99.2867	0.120924	25.7806	39.3775	6.66006e+06
16.1599	7.87512	14.1607	-54.5266	21.6253	33.8476	6.66006e+06
41.6965	-17.6097	50.0974	-29.3314	10.3125	6.36212	6.66006e+06
113271	1.0025e+06	200961	-0.0450347	0.0206536	-0.100276	6.66006e+06
-32.4927	-29.9074	-9.88782	-1.46344	-3.96997	23.6111	6.66006e+06
